Country,N,Mean,Mean_SE,median,Gini,Gini_SE,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,HC_20,HC_50,HC_80,HC_SE_20,HC_SE_50,HC_SE_80,CI_lower_20,CI_lower_50,CI_lower_80,CI_upper_20,CI_upper_50,CI_upper_80
at94,3367,26937.49278,313.1766,23634.07793,0.342524494,0.00504458,2.243315255,6.156142724,11.53386486,18.168772,26.22841334,35.68959604,46.63641513,59.61993847,75.67661138,100,0.031162747,0.222443166,0.447008627,0.002994482,0.007167275,0.008568318,0.02529367,0.208395566,0.430215032,0.037031824,0.236490766,0.463802222
at95,3281,26630.59976,310.91534,23905.72956,0.331783194,0.00529999,2.285893584,6.385572005,11.87482782,18.67394264,26.90772826,36.54050171,47.67262933,60.65054404,76.32678558,100,0.030556422,0.214352647,0.433049575,0.003004757,0.007164323,0.008650441,0.024667206,0.200310833,0.416095023,0.036445638,0.228394461,0.450004127
at96,3130,25993.42145,288.47657,23154.72904,0.32662623,0.00461529,2.427018816,6.535552433,12.08262343,18.91826678,27.12064326,36.74012324,47.89288619,60.95517354,76.85164944,100,0.021666059,0.204385862,0.430873561,0.002602324,0.007207829,0.008851302,0.016565598,0.190258776,0.413525329,0.02676652,0.218512948,0.448221793
at97,2951,26113.28723,291.62426,23220.27965,0.320803811,0.00476631,2.538190624,6.838688791,12.44172052,19.27471924,27.49391708,37.10116294,48.26656251,61.31059163,77.10846775,100,0.020234912,0.197427399,0.435027634,0.002591952,0.007327592,0.009126146,0.015154778,0.183065583,0.417140716,0.025315046,0.211789215,0.452914552
at98,2808,27296.64183,365.64462,23684.9492,0.340416828,0.0096226,2.259386451,6.407996505,11.91855295,18.66958871,26.65637476,36.03746333,46.88737811,59.54771173,75.00479563,100,0.032537439,0.206651012,0.450474041,0.003348191,0.007641038,0.00938924,0.025975105,0.191674853,0.432071469,0.039099773,0.221627171,0.468876613
at99,2633,28135.67649,352.76794,25007.01372,0.327579512,0.00609159,2.404332577,6.70151854,12.29353485,19.08744567,27.25869721,36.84749684,47.80495666,60.60532696,76.25590014,100,0.026075779,0.198542513,0.439124449,0.003105674,0.007773947,0.009671674,0.019988771,0.183305857,0.420168317,0.032162787,0.213779169,0.458080581
at00,2522,27754.22173,335.54076,24763.3417,0.316594756,0.00540158,2.607812736,7.034678104,12.727657,19.61911646,27.86530102,37.51204494,48.57482863,61.55021344,77.05545713,100,0.022870839,0.188313036,0.432603845,0.002976765,0.00778506,0.009865426,0.017036488,0.1730546,0.413267965,0.02870519,0.203571472,0.451939725
at03,4518,30722.73181,307.45534,26380.09961,0.337906012,0.00408873,2.368413892,6.55108386,11.97296614,18.58449028,26.48459721,35.81838637,46.87017916,59.89607784,75.68492604,100,0.026341508,0.211521552,0.455968802,0.002382597,0.006075739,0.007409798,0.021671704,0.199613322,0.441445865,0.031011312,0.223429782,0.470491739
at04,5145,32865.09738,310.12016,28438.78003,0.331571726,0.00407334,2.621703354,6.897125287,12.45605852,19.26285469,27.25771033,36.55098473,47.34445318,59.94401134,75.29373444,100,0.020848008,0.205912854,0.45246723,0.001991887,0.005637455,0.006939145,0.016943982,0.194863644,0.438866757,0.024752034,0.216962064,0.466067703
at05,6027,31919.68859,267.51566,27690.00806,0.330214158,0.00354271,2.58095764,6.871038055,12.34619543,19.040631,27.06617298,36.45859728,47.42941238,60.26753399,75.95780458,100,0.020437673,0.205636819,0.448823132,0.001822557,0.005206063,0.006406672,0.016865527,0.195433124,0.436266285,0.024009819,0.215840514,0.461379979
